iter	Passed	Remaining
0	150	150233
1	162	81007
2	175	58360
3	188	46977
4	198	39444
5	206	34286
6	215	30609
7	224	27895
8	232	25586
9	242	24013
10	251	22641
11	259	21343
12	266	20236
13	274	19354
14	282	18566
15	289	17818
16	298	17235
17	305	16675
18	312	16127
19	321	15738
20	329	15371
21	338	15054
22	347	14768
23	356	14488
24	365	14246
25	369	13831
26	376	13575
27	385	13370
28	393	13183
29	401	12993
30	411	12868
31	421	12751
32	428	12553
33	435	12381
34	443	12239
35	452	12105
36	459	11964
37	466	11819
38	474	11684
39	482	11579
40	487	11404
41	495	11313
42	505	11240
43	513	11150
44	520	11044
45	527	10947
46	537	10900
47	545	10825
48	554	10765
49	563	10706
50	572	10646
51	582	10618
52	589	10537
53	598	10483
54	606	10427
55	615	10381
56	622	10303
57	631	10261
58	639	10195
59	647	10144
60	655	10095
61	664	10046
62	671	9994
63	680	9951
64	688	9900
65	696	9855
66	704	9805
67	711	9748
68	720	9715
69	727	9668
70	735	9625
71	744	9599
72	753	9567
73	764	9565
74	773	9541
75	781	9496
76	788	9450
77	795	9407
78	803	9367
79	811	9336
80	819	9298
81	826	9256
82	834	9224
83	842	9182
84	849	9144
85	854	9080
86	861	9035
87	868	8996
88	875	8959
89	883	8932
90	891	8902
91	899	8873
92	906	8841
93	913	8808
94	917	8738
95	925	8718
96	933	8688
97	941	8662
98	948	8632
99	955	8603
100	963	8576
101	971	8552
102	979	8527
103	986	8499
104	995	8486
105	1003	8465
106	1012	8448
107	1021	8433
108	1029	8415
109	1037	8394
110	1046	8377
111	1052	8347
112	1061	8329
113	1068	8305
114	1076	8287
115	1086	8276
116	1094	8262
117	1103	8247
118	1111	8229
119	1118	8204
120	1126	8183
121	1134	8163
122	1144	8158
123	1154	8155
124	1163	8141
125	1172	8133
126	1181	8118
127	1192	8122
128	1200	8104
129	1209	8093
130	1216	8068
131	1225	8059
132	1232	8034
133	1240	8019
134	1252	8026
135	1261	8015
136	1271	8008
137	1282	8008
138	1293	8010
139	1302	8002
140	1310	7981
141	1317	7962
142	1325	7943
143	1333	7928
144	1342	7918
145	1352	7908
146	1360	7894
147	1371	7893
148	1379	7879
149	1390	7882
150	1400	7872
151	1408	7859
152	1416	7840
153	1424	7825
154	1432	7809
155	1439	7790
156	1447	7770
157	1456	7762
158	1467	7764
159	1478	7763
160	1489	7759
161	1501	7768
162	1512	7764
163	1521	7755
164	1530	7745
165	1539	7735
166	1549	7727
167	1556	7708
168	1566	7704
169	1574	7689
170	1583	7677
171	1593	7669
172	1603	7663
173	1611	7651
174	1619	7636
175	1628	7623
176	1636	7611
177	1645	7599
178	1653	7582
179	1661	7568
180	1668	7551
181	1681	7555
182	1690	7545
183	1700	7539
184	1707	7524
185	1716	7511
186	1725	7502
187	1734	7493
188	1742	7475
189	1751	7467
190	1759	7453
191	1771	7453
192	1781	7450
193	1790	7440
194	1802	7440
195	1812	7433
196	1819	7416
197	1827	7401
198	1835	7388
199	1843	7375
200	1853	7366
201	1861	7352
202	1868	7335
203	1876	7321
204	1883	7304
205	1894	7301
206	1903	7293
207	1912	7283
208	1922	7276
209	1932	7270
210	1943	7265
211	1950	7251
212	1958	7237
213	1968	7229
214	1978	7225
215	1988	7218
216	1997	7206
217	2006	7198
218	2013	7182
219	2021	7166
220	2030	7158
221	2038	7144
222	2047	7134
223	2057	7126
224	2064	7112
225	2072	7097
226	2079	7080
227	2087	7067
228	2095	7055
229	2105	7048
230	2117	7047
231	2126	7039
